"terminal","clase_vehiculo","nivel_servicio","municipio_origen_ruta","municipio_destino_ruta","fecha_despacho","hora_despacho","tipo_despacho","despachos","pasajeros"
"T.T. DE PASTO","MICROBUS","BASICO","76001","52356","2022-08-03T00:00:00.000","17","TRANSITO","2","12"
"T.T. DE CAUCASIA","BUS","LUJO","13001","05001","2022-12-22T00:00:00.000","03","TRANSITO","1","0"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05579","2022-09-22T00:00:00.000","10","ORIGEN","1","17"
"T.T. DE OCAÑA","AUTOMOVIL","BASICO","54498","20011","2022-08-16T00:00:00.000","04","ORIGEN","1","0"
"T.T. DE AGUACHICA","BUS","LUJO","68001","20001","2022-09-11T00:00:00.000","19","TRANSITO","1","4"
"T.T. DE POPAYÁN","BUS","BASICO","76001","52001","2022-10-09T00:00:00.000","23","TRANSITO","1","42"
"T.T. DE CARTAGENA","BUS","LUJO","13001","44430","2022-05-25T00:00:00.000","17","ORIGEN","1","6"
"T.T. DE BUCARAMANGA","BUS","LUJO","68001","54001","2022-11-11T00:00:00.000","05","ORIGEN","1","0"
"T.T. DE GARZÓN","CAMIONETA","BASICO","41001","41770","2022-06-13T00:00:00.000","19","TRANSITO","1","8"
"T.T. DE POPAYÁN","BUSETA","BASICO","19001","19548","2022-08-23T00:00:00.000","09","ORIGEN","1","19"
"T.T. DE POPAYÁN","BUSETA","BASICO","19001","19548","2022-08-23T00:00:00.000","09","ORIGEN","1","19"
"T.T. DE SANTA MARTA","BUS","LUJO","47001","08001","2022-01-22T00:00:00.000","04","ORIGEN","1","8"
"T.T. DE SANTA MARTA","BUS","LUJO","47001","08001","2022-01-22T00:00:00.000","04","ORIGEN","1","8"
"T.T. DE CALI","BUS","BASICO","76001","18756","2022-03-11T00:00:00.000","09","ORIGEN","1","4"
"T.T. DE CHIQUINQUIRÁ","MICROBUS","LUJO","15176","11001","2022-07-24T00:00:00.000","12","ORIGEN","1","15"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","25151","2022-07-21T00:00:00.000","08","ORIGEN","1","3"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-01-07T00:00:00.000","10","ORIGEN","1","4"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-01-07T00:00:00.000","10","ORIGEN","1","4"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63690","2022-01-07T00:00:00.000","16","ORIGEN","1","3"
"T.T. DE MEDELLÍN NORTE","BUS","LUJO","05001","41001","2022-07-30T00:00:00.000","20","ORIGEN","1","12"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15740","2022-02-22T00:00:00.000","07","ORIGEN","1","3"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","81794","2022-03-26T00:00:00.000","12","TRANSITO","1","4"
"T.T. DE BUGA","MICROBUS","LUJO","76111","76001","2022-11-27T00:00:00.000","13","ORIGEN","1","19"
"T.T. DE BUGA","MICROBUS","LUJO","76111","76001","2022-11-27T00:00:00.000","13","ORIGEN","1","19"
