"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"KIA","2015","AUTOMOVIL","11","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BMW","2024","MOTOCICLETA","2","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"FOTON","2016","CAMION","10","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"FORD","2007","AUTOMOVIL","18","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2011","AUTOMOVIL","15","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2013","AUTOMOVIL","12","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BMW","2016","AUTOMOVIL","10","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2011","CAMIONETA","16","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"FORD","2013","CAMPERO","13","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BMW","2013","AUTOMOVIL","13","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"FORD","1956","VOLQUETA","54","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2019","AUTOMOVIL","7","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KIA","2014","AUTOMOVIL","3","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2011","AUTOMOVIL","15","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2019","AUTOMOVIL","7","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KIA","2015","AUTOMOVIL","11","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"FORD","2020","CAMIONETA","6","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2017","CAMIONETA","10","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2010","AUTOMOVIL","16","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"VICTORY","2022","MOTOCICLETA","5","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KIA","2015","AUTOMOVIL","11","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KIA","2021","AUTOMOVIL","5","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2010","AUTOMOVIL","16","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"VICTORY","2021","MOTOCICLETA","5","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","1994","MICROBUS","31","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2009","AUTOMOVIL","18","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"FOTON","2016","CAMION","10","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"VICTORY","2023","MOTOCICLETA","3","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"VICTORY","2025","MOTOCICLETA","2","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KIA","2016","AUTOMOVIL","9","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BMW","2019","AUTOMOVIL","7","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KIA","2011","AUTOMOVIL","16","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"HYUNDAI","2010","AUTOMOVIL","16","12/2024","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
